Year,Commodity,Value,Unit,Source_File
2563,ข้าว,"26,423,822.00",ตัน,rice_production.csv
2564,ข้าว,"26,806,578.00",ตัน,rice_production.csv
2565,ข้าว,"26,711,735.00",ตัน,rice_production.csv
2566,ข้าว,"26,933,808.00",ตัน,rice_production.csv
2563,ข้าว,"4,553,778.00",ตัน,rice_production.csv
2564,ข้าว,"5,310,446.00",ตัน,rice_production.csv
2565,ข้าว,"6,171,197.00",ตัน,rice_production.csv
2566,ข้าว,"6,917,771.00",ตัน,rice_production.csv
2567,ข้าว,"6,544,570.00",ตัน,rice_production.csv
2558,ลิ้นจี่,"51,000.00",ตัน,tropical_fruits_value.csv
2559,ลิ้นจี่,"31,000.00",ตัน,tropical_fruits_value.csv
2560,ลิ้นจี่,"47,000.00",ตัน,tropical_fruits_value.csv
2561,ลิ้นจี่,"48,000.00",ตัน,tropical_fruits_value.csv
2562,ลิ้นจี่,"23,000.00",ตัน,tropical_fruits_value.csv
2563,ลิ้นจี่,"34,000.00",ตัน,tropical_fruits_value.csv
2564,ลิ้นจี่,"36,000.00",ตัน,tropical_fruits_value.csv
2565,ลิ้นจี่,"44,000.00",ตัน,tropical_fruits_value.csv
2566,ลิ้นจี่,"41,000.00",ตัน,tropical_fruits_value.csv
2567,ลิ้นจี่,"14,000.00",ตัน,tropical_fruits_value.csv
2558,ลองกอง,"124,000.00",ตัน,tropical_fruits_value.csv
2559,ลองกอง,"111,000.00",ตัน,tropical_fruits_value.csv
2560,ลองกอง,"51,000.00",ตัน,tropical_fruits_value.csv
2561,ลองกอง,"75,000.00",ตัน,tropical_fruits_value.csv
2562,ลองกอง,"119,000.00",ตัน,tropical_fruits_value.csv
2563,ลองกอง,"74,000.00",ตัน,tropical_fruits_value.csv
2564,ลองกอง,"76,000.00",ตัน,tropical_fruits_value.csv
2565,ลองกอง,"42,000.00",ตัน,tropical_fruits_value.csv
2566,ลองกอง,"64,000.00",ตัน,tropical_fruits_value.csv
2567,ลองกอง,"47,000.00",ตัน,tropical_fruits_value.csv
2558,สับปะรดปัตตาเวีย,"1,825,000.00",ตัน,tropical_fruits_value.csv
2559,สับปะรดปัตตาเวีย,"2,014,000.00",ตัน,tropical_fruits_value.csv
2560,สับปะรดปัตตาเวีย,"2,328,000.00",ตัน,tropical_fruits_value.csv
2561,สับปะรดปัตตาเวีย,"2,351,000.00",ตัน,tropical_fruits_value.csv
2562,สับปะรดปัตตาเวีย,"1,825,000.00",ตัน,tropical_fruits_value.csv
2563,สับปะรดปัตตาเวีย,"1,681,000.00",ตัน,tropical_fruits_value.csv
2564,สับปะรดปัตตาเวีย,"1,751,000.00",ตัน,tropical_fruits_value.csv
2565,สับปะรดปัตตาเวีย,"1,714,000.00",ตัน,tropical_fruits_value.csv
2566,สับปะรดปัตตาเวีย,"1,249,000.00",ตัน,tropical_fruits_value.csv
2567,สับปะรดปัตตาเวีย,"1,092,000.00",ตัน,tropical_fruits_value.csv
2558,ลำไย,"1,032,000.00",ตัน,tropical_fruits_value.csv
2559,ลำไย,"878,000.00",ตัน,tropical_fruits_value.csv
2560,ลำไย,"1,201,000.00",ตัน,tropical_fruits_value.csv
2561,ลำไย,"1,247,000.00",ตัน,tropical_fruits_value.csv
2562,ลำไย,"1,176,000.00",ตัน,tropical_fruits_value.csv
2563,ลำไย,"1,183,000.00",ตัน,tropical_fruits_value.csv
2564,ลำไย,"1,567,000.00",ตัน,tropical_fruits_value.csv
2565,ลำไย,"1,555,000.00",ตัน,tropical_fruits_value.csv
2566,ลำไย,"1,415,000.00",ตัน,tropical_fruits_value.csv
2567,ลำไย,"1,420,000.00",ตัน,tropical_fruits_value.csv
2558,เงาะ,"285,000.00",ตัน,tropical_fruits_value.csv
2559,เงาะ,"191,000.00",ตัน,tropical_fruits_value.csv
2560,เงาะ,"248,000.00",ตัน,tropical_fruits_value.csv
2561,เงาะ,"260,000.00",ตัน,tropical_fruits_value.csv
2562,เงาะ,"280,000.00",ตัน,tropical_fruits_value.csv
2563,เงาะ,"270,000.00",ตัน,tropical_fruits_value.csv
2564,เงาะ,"284,000.00",ตัน,tropical_fruits_value.csv
2565,เงาะ,"265,000.00",ตัน,tropical_fruits_value.csv
2566,เงาะ,"215,000.00",ตัน,tropical_fruits_value.csv
2567,เงาะ,"202,000.00",ตัน,tropical_fruits_value.csv
2558,ทุเรียน,"637,000.00",ตัน,tropical_fruits_value.csv
2559,ทุเรียน,"566,000.00",ตัน,tropical_fruits_value.csv
2560,ทุเรียน,"689,000.00",ตัน,tropical_fruits_value.csv
2561,ทุเรียน,"786,000.00",ตัน,tropical_fruits_value.csv
2562,ทุเรียน,"1,058,000.00",ตัน,tropical_fruits_value.csv
2563,ทุเรียน,"1,168,000.00",ตัน,tropical_fruits_value.csv
2564,ทุเรียน,"1,256,000.00",ตัน,tropical_fruits_value.csv
2565,ทุเรียน,"1,338,000.00",ตัน,tropical_fruits_value.csv
2566,ทุเรียน,"1,482,000.00",ตัน,tropical_fruits_value.csv
2567,ทุเรียน,"1,287,000.00",ตัน,tropical_fruits_value.csv
2558,มังคุด,"222,000.00",ตัน,tropical_fruits_value.csv
2559,มังคุด,"187,000.00",ตัน,tropical_fruits_value.csv
2560,มังคุด,"228,000.00",ตัน,tropical_fruits_value.csv
2561,มังคุด,"186,000.00",ตัน,tropical_fruits_value.csv
2562,มังคุด,"353,000.00",ตัน,tropical_fruits_value.csv
2563,มังคุด,"337,000.00",ตัน,tropical_fruits_value.csv
2564,มังคุด,"271,000.00",ตัน,tropical_fruits_value.csv
2565,มังคุด,"252,000.00",ตัน,tropical_fruits_value.csv
2566,มังคุด,"271,000.00",ตัน,tropical_fruits_value.csv
2567,มังคุด,"302,000.00",ตัน,tropical_fruits_value.csv
2563/64,ข้าวโพดเลี้ยงสัตว์,"4,990,207.00",ตัน,maize_production.csv
2564/65,ข้าวโพดเลี้ยงสัตว์,"4,847,845.00",ตัน,maize_production.csv
2565/66,ข้าวโพดเลี้ยงสัตว์,"4,700,555.00",ตัน,maize_production.csv
2566/67,ข้าวโพดเลี้ยงสัตว์,"4,614,006.00",ตัน,maize_production.csv
2563/64,ข้าวโพดเลี้ยงสัตว์,"4,435,655.00",ตัน,maize_production.csv
2564/65,ข้าวโพดเลี้ยงสัตว์,"4,302,921.00",ตัน,maize_production.csv
2565/66,ข้าวโพดเลี้ยงสัตว์,"4,161,329.00",ตัน,maize_production.csv
2566/67,ข้าวโพดเลี้ยงสัตว์,"4,130,001.00",ตัน,maize_production.csv
2563/64,ข้าวโพดเลี้ยงสัตว์,"554,552.00",ตัน,maize_production.csv
2564/65,ข้าวโพดเลี้ยงสัตว์,"544,924.00",ตัน,maize_production.csv
2565/66,ข้าวโพดเลี้ยงสัตว์,"539,226.00",ตัน,maize_production.csv
2566/67,ข้าวโพดเลี้ยงสัตว์,"484,005.00",ตัน,maize_production.csv
2563,มันสำปะหลัง,"28,999,122.00",ตัน,cassava_production.csv
2564,มันสำปะหลัง,"35,094,485.00",ตัน,cassava_production.csv
2565,มันสำปะหลัง,"34,068,005.00",ตัน,cassava_production.csv
2566,มันสำปะหลัง,"30,616,586.00",ตัน,cassava_production.csv
2567,มันสำปะหลัง,"28,624,312.00",ตัน,cassava_production.csv
2563,ปาล์มน้ำมัน,"16,221,974.00",ตัน,oilpalm_production.csv
2564,ปาล์มน้ำมัน,"16,904,704.00",ตัน,oilpalm_production.csv
2565,ปาล์มน้ำมัน,"18,588,119.76",ตัน,oilpalm_production.csv
2566,ปาล์มน้ำมัน,"18,273,629.00",ตัน,oilpalm_production.csv
2563,ยางพารา,"4,859,666.00",ตัน,rubber_production.csv
2564,ยางพารา,"4,892,451.00",ตัน,rubber_production.csv
2565,ยางพารา,"4,785,779.00",ตัน,rubber_production.csv
2565,ยางพารา,"4,785,779.00",ตัน,rubber_production.csv
2566,ยางพารา,"4,810,350.00",ตัน,rubber_production.csv
2564,ข้าวนาปี,"8,574,750.00",ตัน,jasmine_rice_value.csv
2564,ข้าวนาปี,"1,613,980.00",ตัน,jasmine_rice_value.csv
2565,ข้าวนาปี,"8,373,480.00",ตัน,jasmine_rice_value.csv
2565,ข้าวนาปี,"1,664,556.00",ตัน,jasmine_rice_value.csv
2566,ข้าวนาปี,"8,736,110.00",ตัน,jasmine_rice_value.csv
2566,ข้าวนาปี,"1,654,782.00",ตัน,jasmine_rice_value.csv
