id,year,province,commod,subcommod,atrriburte,value,unit
3,2020,ประเทศไทย,ข้าว,ข้าวนาปี,production,26423822.0,ตัน
8,2021,ประเทศไทย,ข้าว,ข้าวนาปี,production,26806578.0,ตัน
13,2022,ประเทศไทย,ข้าว,ข้าวนาปี,production,26711735.0,ตัน
18,2023,ประเทศไทย,ข้าว,ข้าวนาปี,production,26933808.0,ตัน
3,2020,ประเทศไทย,ข้าว,ข้าวนาปรัง,production,4553778.0,ตัน
8,2021,ประเทศไทย,ข้าว,ข้าวนาปรัง,production,5310446.0,ตัน
13,2022,ประเทศไทย,ข้าว,ข้าวนาปรัง,production,6171197.0,ตัน
18,2023,ประเทศไทย,ข้าว,ข้าวนาปรัง,production,6917771.0,ตัน
23,2024,ประเทศไทย,ข้าว,ข้าวนาปรัง,production,6544570.0,ตัน
3,2015,,ลิ้นจี่,,production,51000.0,ตัน
9,2016,,ลิ้นจี่,,production,31000.0,ตัน
15,2017,,ลิ้นจี่,,production,47000.0,ตัน
21,2018,,ลิ้นจี่,,production,48000.0,ตัน
27,2019,,ลิ้นจี่,,production,23000.0,ตัน
33,2020,,ลิ้นจี่,,production,34000.0,ตัน
39,2021,,ลิ้นจี่,,production,36000.0,ตัน
45,2022,,ลิ้นจี่,,production,44000.0,ตัน
51,2023,,ลิ้นจี่,,production,41000.0,ตัน
57,2024,,ลิ้นจี่,,production,14000.0,ตัน
63,2015,,ลองกอง,,production,124000.0,ตัน
69,2016,,ลองกอง,,production,111000.0,ตัน
75,2017,,ลองกอง,,production,51000.0,ตัน
81,2018,,ลองกอง,,production,75000.0,ตัน
87,2019,,ลองกอง,,production,119000.0,ตัน
93,2020,,ลองกอง,,production,74000.0,ตัน
99,2021,,ลองกอง,,production,76000.0,ตัน
105,2022,,ลองกอง,,production,42000.0,ตัน
111,2023,,ลองกอง,,production,64000.0,ตัน
117,2024,,ลองกอง,,production,47000.0,ตัน
123,2015,,สับปะรดปัตตาเวีย,,production,1825000.0,ตัน
129,2016,,สับปะรดปัตตาเวีย,,production,2014000.0,ตัน
135,2017,,สับปะรดปัตตาเวีย,,production,2328000.0,ตัน
141,2018,,สับปะรดปัตตาเวีย,,production,2351000.0,ตัน
147,2019,,สับปะรดปัตตาเวีย,,production,1825000.0,ตัน
153,2020,,สับปะรดปัตตาเวีย,,production,1681000.0,ตัน
159,2021,,สับปะรดปัตตาเวีย,,production,1751000.0,ตัน
165,2022,,สับปะรดปัตตาเวีย,,production,1714000.0,ตัน
171,2023,,สับปะรดปัตตาเวีย,,production,1249000.0,ตัน
177,2024,,สับปะรดปัตตาเวีย,,production,1092000.0,ตัน
183,2015,,ลำไย,,production,1032000.0,ตัน
189,2016,,ลำไย,,production,878000.0,ตัน
195,2017,,ลำไย,,production,1201000.0,ตัน
201,2018,,ลำไย,,production,1247000.0,ตัน
207,2019,,ลำไย,,production,1176000.0,ตัน
213,2020,,ลำไย,,production,1183000.0,ตัน
219,2021,,ลำไย,,production,1567000.0,ตัน
225,2022,,ลำไย,,production,1555000.0,ตัน
231,2023,,ลำไย,,production,1415000.0,ตัน
237,2024,,ลำไย,,production,1420000.0,ตัน
243,2015,,เงาะ,,production,285000.0,ตัน
249,2016,,เงาะ,,production,191000.0,ตัน
255,2017,,เงาะ,,production,248000.0,ตัน
261,2018,,เงาะ,,production,260000.0,ตัน
267,2019,,เงาะ,,production,280000.0,ตัน
273,2020,,เงาะ,,production,270000.0,ตัน
279,2021,,เงาะ,,production,284000.0,ตัน
285,2022,,เงาะ,,production,265000.0,ตัน
291,2023,,เงาะ,,production,215000.0,ตัน
297,2024,,เงาะ,,production,202000.0,ตัน
303,2015,,ทุเรียน,,production,637000.0,ตัน
309,2016,,ทุเรียน,,production,566000.0,ตัน
315,2017,,ทุเรียน,,production,689000.0,ตัน
321,2018,,ทุเรียน,,production,786000.0,ตัน
327,2019,,ทุเรียน,,production,1058000.0,ตัน
333,2020,,ทุเรียน,,production,1168000.0,ตัน
339,2021,,ทุเรียน,,production,1256000.0,ตัน
345,2022,,ทุเรียน,,production,1338000.0,ตัน
351,2023,,ทุเรียน,,production,1482000.0,ตัน
357,2024,,ทุเรียน,,production,1287000.0,ตัน
363,2015,,มังคุด,,production,222000.0,ตัน
369,2016,,มังคุด,,production,187000.0,ตัน
375,2017,,มังคุด,,production,228000.0,ตัน
381,2018,,มังคุด,,production,186000.0,ตัน
387,2019,,มังคุด,,production,353000.0,ตัน
393,2020,,มังคุด,,production,337000.0,ตัน
399,2021,,มังคุด,,production,271000.0,ตัน
405,2022,,มังคุด,,production,252000.0,ตัน
411,2023,,มังคุด,,production,271000.0,ตัน
417,2024,,มังคุด,,production,302000.0,ตัน
3,2020,ประเทศไทย,ข้าวโพดเลี้ยงสัตว์,ข้าวโพดเลี้ยงสัตว์ รวมรุ่น,production,4990207.0,ตัน
8,2021,ประเทศไทย,ข้าวโพดเลี้ยงสัตว์,ข้าวโพดเลี้ยงสัตว์ รวมรุ่น,production,4847845.0,ตัน
13,2022,ประเทศไทย,ข้าวโพดเลี้ยงสัตว์,ข้าวโพดเลี้ยงสัตว์ รวมรุ่น,production,4700555.0,ตัน
18,2023,ประเทศไทย,ข้าวโพดเลี้ยงสัตว์,ข้าวโพดเลี้ยงสัตว์ รวมรุ่น,production,4614006.0,ตัน
23,2020,ประเทศไทย,ข้าวโพดเลี้ยงสัตว์,ข้าวโพดเลี้ยงสัตว์ รุ่น 1,production,4435655.0,ตัน
28,2021,ประเทศไทย,ข้าวโพดเลี้ยงสัตว์,ข้าวโพดเลี้ยงสัตว์ รุ่น 1,production,4302921.0,ตัน
33,2022,ประเทศไทย,ข้าวโพดเลี้ยงสัตว์,ข้าวโพดเลี้ยงสัตว์ รุ่น 1,production,4161329.0,ตัน
38,2023,ประเทศไทย,ข้าวโพดเลี้ยงสัตว์,ข้าวโพดเลี้ยงสัตว์ รุ่น 1,production,4130001.0,ตัน
43,2020,ประเทศไทย,ข้าวโพดเลี้ยงสัตว์,ข้าวโพดเลี้ยงสัตว์ รุ่น 2,production,554552.0,ตัน
48,2021,ประเทศไทย,ข้าวโพดเลี้ยงสัตว์,ข้าวโพดเลี้ยงสัตว์ รุ่น 2,production,544924.0,ตัน
53,2022,ประเทศไทย,ข้าวโพดเลี้ยงสัตว์,ข้าวโพดเลี้ยงสัตว์ รุ่น 2,production,539226.0,ตัน
58,2023,ประเทศไทย,ข้าวโพดเลี้ยงสัตว์,ข้าวโพดเลี้ยงสัตว์ รุ่น 2,production,484005.0,ตัน
11,2020,ประเทศไทย,มันสำปะหลัง,มันสำปะหลังโรงงาน,production,28999122.0,ตัน
12,2021,ประเทศไทย,มันสำปะหลัง,มันสำปะหลังโรงงาน,production,35094485.0,ตัน
13,2022,ประเทศไทย,มันสำปะหลัง,มันสำปะหลังโรงงาน,production,34068005.0,ตัน
14,2023,ประเทศไทย,มันสำปะหลัง,มันสำปะหลังโรงงาน,production,30616586.0,ตัน
15,2024,ประเทศไทย,มันสำปะหลัง,มันสำปะหลังโรงงาน,production,28624312.0,ตัน
3,2020,ประเทศไทย,ปาล์มน้ำมัน,ปาล์มน้ำมัน,production,16221974.0,ตัน
7,2021,ประเทศไทย,ปาล์มน้ำมัน,ปาล์มน้ำมัน,production,16904704.0,ตัน
11,2022,ประเทศไทย,ปาล์มน้ำมัน,ปาล์มน้ำมัน,production,18588119.76,ตัน
15,2023,ประเทศไทย,ปาล์มน้ำมัน,ปาล์มน้ำมัน,production,18273629.0,ตัน
3,2020,ประเทศไทย,ยางพารา,ยางพารา,production,4859666.0,ตัน
7,2021,ประเทศไทย,ยางพารา,ยางพารา,production,4892451.0,ตัน
11,2022,ประเทศไทย,ยางพารา,ยางพารา,production,4785779.0,ตัน
15,2022,ประเทศไทย,ยางพารา,ยางพารา,production,4785779.0,ตัน
19,2023,ประเทศไทย,ยางพารา,ยางพารา,production,4810350.0,ตัน
5,2021,ประเทศไทย,ข้าวนาปี,,production,8574750.0,ตัน
6,2021,ประเทศไทย,ข้าวนาปี,,production,1613980.0,ตัน
15,2022,ประเทศไทย,ข้าวนาปี,,production,8373480.0,ตัน
16,2022,ประเทศไทย,ข้าวนาปี,,production,1664556.0,ตัน
25,2023,ประเทศไทย,ข้าวนาปี,,production,8736110.0,ตัน
26,2023,ประเทศไทย,ข้าวนาปี,,production,1654782.0,ตัน
